時刻,体表温度,体動,脈周期[ms],ラベル
2023/08/02 17:28:00,29.399999618530277,1.0,666.0,0
2023/08/02 17:28:01,29.399999618530277,,666.0,0
2023/08/02 17:28:02,29.399999618530277,,666.0,0
2023/08/02 17:28:03,29.399999618530277,1.0,652.3333333333334,0
2023/08/02 17:28:04,29.399999618530277,1.0,638.6666666666666,0
2023/08/02 17:28:05,29.399999618530277,1.0,614.6666666666666,0
2023/08/02 17:28:06,29.399999618530277,1.0,604.3333333333334,0
2023/08/02 17:28:07,29.399999618530277,1.0,592.0,0
2023/08/02 17:28:08,29.399999618530277,1.0,590.0,0
2023/08/02 17:28:09,29.399999618530277,1.0,588.0,0
2023/08/02 17:28:10,29.5,1.0,588.0,2
2023/08/02 17:28:11,29.5,1.0,586.0,2
2023/08/02 17:28:12,29.5,1.0,584.0,2
2023/08/02 17:28:13,29.5,1.0,574.6666666666666,2
2023/08/02 17:28:14,29.5,1.0,567.3333333333334,2
2023/08/02 17:28:15,29.5,1.0,555.0,2
2023/08/02 17:28:16,29.5,1.0,550.0,2
2023/08/02 17:28:17,29.5,1.0,548.3333333333334,2
2023/08/02 17:28:18,29.5,1.0,551.6666666666666,2
2023/08/02 17:28:19,29.5,1.0,555.0,2
2023/08/02 17:28:20,29.5,1.0,555.0,2
2023/08/02 17:28:21,29.5,1.0,666.0,2
2023/08/02 17:28:22,29.600000381469727,1.0,666.0,2
2023/08/02 17:28:23,29.600000381469727,1.0,666.0,2
2023/08/02 17:28:24,29.600000381469727,1.0,666.0,2
2023/08/02 17:28:25,29.600000381469727,1.0,625.0,2
2023/08/02 17:28:26,29.600000381469727,1.0,625.0,2
2023/08/02 17:28:27,29.600000381469727,1.0,594.0,2
2023/08/02 17:28:28,29.600000381469727,1.0,594.0,2
2023/08/02 17:28:29,29.600000381469727,1.0,588.0,2
2023/08/02 17:28:30,29.600000381469727,1.0,588.0,2
2023/08/02 17:28:31,29.600000381469727,1.0,588.0,2
2023/08/02 17:28:32,29.600000381469727,1.0,588.0,2
2023/08/02 17:28:33,29.600000381469727,1.0,582.0,2
2023/08/02 17:28:34,29.700000762939453,1.0,582.0,2
2023/08/02 17:28:35,29.700000762939453,1.0,560.0,2
2023/08/02 17:28:36,29.700000762939453,1.0,560.0,2
2023/08/02 17:28:37,29.700000762939453,1.0,545.0,2
2023/08/02 17:28:38,29.700000762939453,1.0,545.0,2
2023/08/02 17:28:39,29.700000762939453,1.0,555.0,2
2023/08/02 17:28:40,29.700000762939453,1.0,555.0,2
2023/08/02 17:28:41,29.700000762939453,1.0,555.0,2
2023/08/02 17:28:42,29.700000762939453,1.0,555.0,2
2023/08/02 17:28:43,29.700000762939453,1.0,555.0,2
2023/08/02 17:28:44,29.700000762939453,1.0,555.0,2
2023/08/02 17:28:45,29.700000762939453,1.0,530.0,2
2023/08/02 17:28:46,29.700000762939453,1.0,530.0,2
2023/08/02 17:28:47,29.700000762939453,1.0,517.0,2
2023/08/02 17:28:48,29.700000762939453,1.0,517.0,2
2023/08/02 17:28:49,29.700000762939453,1.0,517.0,2
2023/08/02 17:28:50,29.700000762939453,1.0,517.0,2
2023/08/02 17:28:51,29.700000762939453,1.0,517.0,2
2023/08/02 17:28:52,29.799999237060547,1.0,517.0,2
2023/08/02 17:28:53,29.799999237060547,1.0,517.0,2
2023/08/02 17:28:54,29.799999237060547,1.0,504.0,2
2023/08/02 17:28:55,29.799999237060547,1.0,504.0,2
2023/08/02 17:28:56,29.799999237060547,1.0,491.0,2
2023/08/02 17:28:57,29.799999237060547,1.0,491.0,2
2023/08/02 17:28:58,29.799999237060547,1.0,491.0,2
2023/08/02 17:28:59,29.799999237060547,1.0,491.0,2
2023/08/02 17:29:00,29.799999237060547,1.0,500.0,2
2023/08/02 17:29:01,29.799999237060547,1.0,500.0,2
2023/08/02 17:29:02,29.799999237060547,1.0,500.0,2
2023/08/02 17:29:03,29.799999237060547,1.0,500.0,2
2023/08/02 17:29:04,29.799999237060547,1.0,487.0,2
2023/08/02 17:29:05,29.799999237060547,,487.0,2
2023/08/02 17:29:06,29.799999237060547,,480.0,2
2023/08/02 17:29:07,29.899999618530277,1.0,480.0,2
2023/08/02 17:29:08,29.899999618530277,1.0,472.0,2
2023/08/02 17:29:09,29.899999618530277,1.0,472.0,2
2023/08/02 17:29:10,29.899999618530277,1.0,472.0,2
2023/08/02 17:29:11,29.899999618530277,1.0,472.0,2
2023/08/02 17:29:12,29.899999618530277,1.0,472.0,2
2023/08/02 17:29:13,29.899999618530277,,472.0,2
2023/08/02 17:29:14,29.899999618530277,,472.0,2
2023/08/02 17:29:15,29.899999618530277,1.0,472.0,2
2023/08/02 17:29:16,29.899999618530277,1.0,468.0,2
2023/08/02 17:29:17,29.899999618530277,,468.0,2
2023/08/02 17:29:18,29.899999618530277,1.0,468.0,2
2023/08/02 17:29:19,29.899999618530277,,468.0,2
